joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,all_robust_grasps_count,all_robust_grasps_count_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_ring_little,mid,1,1336.0,0.0,1252.0,0.0,502.0,0.0,4439.0,0.0,15.503783353245717,0.0,6.214655515730785,0.0,0.3650145772594752,0.0,0.013946697038699019,0.0,1.0670926517571886,0.0,2.0,0.0,503.9504327774048,0.0,50220.0,0.0
lock_little,mid,1,1315.0,0.0,1189.0,0.0,486.0,0.0,5171.0,0.0,14.942254082039028,0.0,6.107128634010355,0.0,0.3466472303206997,0.0,0.014624647638889928,0.0,1.1059714045416316,0.0,2.0,0.0,470.2598237991333,0.0,50220.0,0.0
lock_index_ring_little,max,1,1293.0,0.0,984.0,0.0,515.0,0.0,4141.0,0.0,10.663082437275985,0.0,5.5794504181600955,0.0,0.2868804664723032,0.0,0.014028993548299635,0.0,1.3140243902439024,0.0,2.0,0.0,424.6214609146118,0.0,50220.0,0.0
lock_index_little,default,1,1281.0,0.0,1127.0,0.0,458.0,0.0,7992.0,0.0,25.82437275985663,0.0,10.493827160493826,0.0,0.32857142857142857,0.0,0.013319346936485735,0.0,1.1366459627329193,0.0,2.0,0.0,525.9552671909332,0.0,50220.0,0.0
lock_index,mid,1,1274.0,0.0,1156.0,0.0,470.0,0.0,5422.0,0.0,16.381919553962565,0.0,6.658701712465154,0.0,0.33702623906705537,0.0,0.01380591662661745,0.0,1.102076124567474,0.0,2.0,0.0,495.1472227573395,0.0,50220.0,0.0
lock_little,low,1,1245.0,0.0,1456.0,0.0,334.0,0.0,2847.0,0.0,12.69215452011151,0.0,2.911190760653126,0.0,0.42448979591836733,0.0,0.013998629329048592,0.0,0.8550824175824175,0.0,2.0,0.0,427.3117368221283,0.0,50220.0,0.0
lock_middle_ring,default,1,1228.0,0.0,1133.0,0.0,382.0,0.0,2147.0,0.0,9.862604540023895,0.0,3.323377140581442,0.0,0.3303206997084548,0.0,0.014113065962202803,0.0,1.0838481906443072,0.0,2.0,0.0,420.72447514533997,0.0,50220.0,0.0
lock_ring,default,1,1218.0,0.0,1225.0,0.0,392.0,0.0,5750.0,0.0,17.50298685782557,0.0,5.599362803663879,0.0,0.35714285714285715,0.0,0.014165513607135896,0.0,0.9942857142857143,0.0,2.0,0.0,521.6346251964569,0.0,50220.0,0.0
none,low,1,1194.0,0.0,1036.0,0.0,427.0,0.0,2661.0,0.0,9.910394265232975,0.0,4.084030266825966,0.0,0.3020408163265306,0.0,0.014785733934203479,0.0,1.1525096525096525,0.0,2.0,0.0,503.110613822937,0.0,50220.0,0.0
lock_middle_ring_little,rest,1,1183.0,0.0,910.0,0.0,451.0,0.0,2153.0,0.0,6.148944643568299,0.0,3.046594982078853,0.0,0.2653061224489796,0.0,0.01453818711104862,0.0,1.3,0.0,2.0,0.0,373.0994391441345,0.0,50220.0,0.0
lock_little,default,1,1180.0,0.0,1040.0,0.0,409.0,0.0,4972.0,0.0,14.822779769016329,0.0,5.828355236957387,0.0,0.30320699708454807,0.0,0.013517597116370954,0.0,1.1346153846153846,0.0,2.0,0.0,496.4042000770569,0.0,50220.0,0.0
lock_index_middle_little,low,1,1166.0,0.0,974.0,0.0,366.0,0.0,2564.0,0.0,8.890880127439267,0.0,3.3393070489844683,0.0,0.2839650145772595,0.0,0.013774859524208191,0.0,1.1971252566735113,0.0,2.0,0.0,414.6072220802307,0.0,50220.0,0.0
lock_middle_ring_little,default,1,1148.0,0.0,916.0,0.0,434.0,0.0,3784.0,0.0,9.478295499800875,0.0,4.490242931103146,0.0,0.26705539358600583,0.0,0.014758185876892635,0.0,1.2532751091703056,0.0,2.0,0.0,409.76609992980957,0.0,50220.0,0.0
lock_index_ring,rest,1,1111.0,0.0,1105.0,0.0,342.0,0.0,2701.0,0.0,10.780565511748307,0.0,3.335324571883712,0.0,0.32215743440233235,0.0,0.013746413648792609,0.0,1.0054298642533936,0.0,2.0,0.0,422.48429799079895,0.0,50220.0,0.0
lock_middle_little,rest,1,1103.0,0.0,1060.0,0.0,363.0,0.0,2959.0,0.0,11.204699322978893,0.0,3.8351254480286734,0.0,0.30903790087463556,0.0,0.014293822664761445,0.0,1.040566037735849,0.0,2.0,0.0,439.24187707901,0.0,50220.0,0.0
none,mid,1,1088.0,0.0,1197.0,0.0,323.0,0.0,6975.0,0.0,23.890880127439267,0.0,6.445639187574671,0.0,0.3489795918367347,0.0,0.01445000626718459,0.0,0.908939014202172,0.0,2.0,0.0,584.2762050628662,0.0,50220.0,0.0
lock_index,default,1,1072.0,0.0,933.0,0.0,397.0,0.0,3088.0,0.0,9.086021505376344,0.0,3.864994026284349,0.0,0.2720116618075802,0.0,0.0143572295107197,0.0,1.1489817792068595,0.0,2.0,0.0,442.01126194000244,0.0,50220.0,0.0
lock_middle,rest,1,1061.0,0.0,1048.0,0.0,360.0,0.0,2314.0,0.0,9.097968936678615,0.0,3.124253285543608,0.0,0.3055393586005831,0.0,0.01429312299665384,0.0,1.0124045801526718,0.0,2.0,0.0,423.67395401000977,0.0,50220.0,0.0
lock_index,max,1,1056.0,0.0,841.0,0.0,418.0,0.0,3277.0,0.0,9.422540820390282,0.0,4.681401831939466,0.0,0.24518950437317785,0.0,0.01341676504643489,0.0,1.2556480380499406,0.0,2.0,0.0,421.02732586860657,0.0,50220.0,0.0
lock_middle_little,max,1,1024.0,0.0,949.0,0.0,366.0,0.0,2569.0,0.0,10.86021505376344,0.0,4.187574671445639,0.0,0.2766763848396501,0.0,0.014376344200399727,0.0,1.0790305584826132,0.0,2.0,0.0,404.3079607486725,0.0,50220.0,0.0
