joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_little,rest,1,489.0,0.0,1302.0,0.0,62.0,0.0,4.843564356435643,0.0,0.22970297029702968,0.0,0.3795918367346939,0.0,0.01505386530054886,0.0,0.37557603686635943,0.0,2.0,0.0,295.28652715682983,0.0,50500.0,0.0
lock_middle_ring,default,1,425.0,0.0,1062.0,0.0,87.0,0.0,3.2732673267326735,0.0,0.26732673267326734,0.0,0.3096209912536443,0.0,0.016248271611002,0.0,0.4001883239171375,0.0,2.0,0.0,290.57270526885986,0.0,50500.0,0.0
lock_ring_little,default,1,420.0,0.0,842.0,0.0,101.0,0.0,2.9128712871287132,0.0,0.34851485148514855,0.0,0.2454810495626822,0.0,0.01628357462952265,0.0,0.498812351543943,0.0,2.0,0.0,298.02183294296265,0.0,50500.0,0.0
lock_index_middle,mid,1,318.0,0.0,442.0,0.0,83.0,0.0,1.19009900990099,0.0,0.22178217821782176,0.0,0.12886297376093295,0.0,0.01901528931622526,0.0,0.7194570135746606,0.0,2.0,0.0,288.4142656326294,0.0,50500.0,0.0
lock_index,default,1,295.0,0.0,477.0,0.0,85.0,0.0,1.2910891089108911,0.0,0.22970297029702968,0.0,0.139067055393586,0.0,0.019007220642237217,0.0,0.6184486373165619,0.0,2.0,0.0,294.23227524757385,0.0,50500.0,0.0
lock_little,mid,1,252.0,0.0,473.0,0.0,71.0,0.0,1.3643564356435645,0.0,0.20396039603960398,0.0,0.13790087463556852,0.0,0.01763267957852637,0.0,0.53276955602537,0.0,2.0,0.0,288.2830545902252,0.0,50500.0,0.0
lock_ring,rest,1,228.0,0.0,463.0,0.0,55.0,0.0,1.4495049504950497,0.0,0.1702970297029703,0.0,0.13498542274052477,0.0,0.020856857798910833,0.0,0.4924406047516199,0.0,2.0,0.0,288.3639235496521,0.0,50500.0,0.0
lock_middle_little,max,1,225.0,0.0,476.0,0.0,55.0,0.0,1.2772277227722773,0.0,0.14653465346534653,0.0,0.13877551020408163,0.0,0.01875888838046471,0.0,0.4726890756302521,0.0,2.0,0.0,287.2379832267761,0.0,50500.0,0.0
lock_index_little,low,1,216.0,0.0,374.0,0.0,45.0,0.0,1.007920792079208,0.0,0.12079207920792079,0.0,0.10903790087463557,0.0,0.01881087840676823,0.0,0.5775401069518716,0.0,2.0,0.0,285.40464782714844,0.0,50500.0,0.0
lock_index,max,1,216.0,0.0,422.0,0.0,53.0,0.0,1.1227722772277227,0.0,0.14059405940594058,0.0,0.12303206997084548,0.0,0.01930138533995446,0.0,0.5118483412322274,0.0,2.0,0.0,281.85374784469604,0.0,50500.0,0.0
