joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,all_robust_grasps_count,all_robust_grasps_count_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_ring,mid,25,998.96,312.05159573378245,872.4,239.93732514971487,380.32,126.71534082343778,1534.4,765.4343603471168,12.691228070175436,5.004674900357643,5.620857699805068,2.583067407480654,0.25434402332361516,0.06995257292994603,0.015719084403608693,0.0018859815359633949,1.1349567504573885,0.14657763744711294,2.0,0.0,108.62076869964599,10.59252207934271,20520.0,0.0
lock_middle_ring_little,mid,25,990.84,357.2684906341448,872.6,251.0858020677394,345.76,152.572416904236,1400.64,806.811644933314,12.1953216374269,5.464324641233561,4.925730994152047,2.8050198923778815,0.25440233236151605,0.07320285774569661,0.01603030810491379,0.0018858779250445934,1.1175756153903205,0.15410025751804923,2.0,0.0,106.32625876426697,8.921373324738342,20520.0,0.0
lock_middle_ring_little,max,25,916.04,316.8967630001922,819.84,214.5644294844791,306.56,136.5240140048629,1274.96,1026.4601884145336,11.156140350877195,6.741626173417649,4.364327485380117,3.0986372434464244,0.23902040816326534,0.06255522725495016,0.016325670117070503,0.002068348344675222,1.092557733393952,0.16133589302982398,2.0,0.0,104.12115794181824,13.927294252017074,20520.0,0.0
lock_middle_ring_little,low,25,866.28,353.26732314212137,791.08,259.3806345894003,298.96,150.17575836332574,1323.04,1105.5974486222372,11.760233918128655,7.0357747270846,4.685964912280702,3.8769844909969686,0.23063556851311953,0.07562117626513128,0.01672802521776928,0.0026441894439393795,1.0816646425662577,0.17838690580132557,2.0,0.0,105.11313042640685,10.57403198613665,20520.0,0.0
lock_middle_ring_little,rest,25,828.24,429.23143221343895,706.48,304.83990814852314,302.56,183.0831679865738,1238.04,1073.2865220433919,10.154775828460037,6.940308577241447,4.5775828460038985,3.9598823901458804,0.20597084548104955,0.08887460878965689,0.01731604952246667,0.004002419298569241,1.1367104997442514,0.18297331966914446,2.0,0.0,103.52274792671204,11.779881545335789,20520.0,0.0
lock_middle_ring,max,25,793.72,357.4711759009389,724.48,265.57064898064317,296.04,144.5034200287315,1164.36,869.4347993955613,10.24736842105263,6.364220800103516,4.326900584795322,3.168804800572754,0.21121865889212826,0.07742584518386099,0.017784148879530393,0.0044325061968182805,1.0572090163388155,0.1596854307162909,2.0,0.0,105.62678584098816,15.445526827645706,20520.0,0.0
lock_middle_ring,rest,25,781.04,305.06399066425394,720.32,235.61794838254573,287.52,124.10644463524044,1370.0,892.2419402830154,11.48615984405458,6.169134627727724,4.735867446393762,3.0447675412556787,0.21000583090379008,0.06869327941182092,0.016373196722900316,0.003503132404725083,1.0616737545685448,0.12844649143326858,2.0,0.0,109.1212968158722,14.089540600362547,20520.0,0.0
lock_middle_ring,default,25,758.88,357.03224728307106,706.08,259.45341315927993,273.44,140.99647655172097,1341.52,954.4285880043619,11.294736842105264,7.01513288668337,4.435282651072125,3.018326167537494,0.20585422740524784,0.07564239450707869,0.0169675190306751,0.003996752518736179,1.0356073766776694,0.16791753895589182,2.0,0.0,109.82467578887939,13.557942480595518,20520.0,0.0
lock_middle_ring_little,default,25,754.64,248.00852888560104,692.6,202.54441488226723,260.16,97.79639257150542,1047.92,680.5003994120797,9.448343079922028,5.26307017470759,3.6448343079922023,2.180891476589769,0.20192419825072883,0.05905084981990298,0.017061177751649597,0.00243932501338393,1.0833654148595853,0.1350049792400532,2.0,0.0,102.97732044219971,7.954226416966257,20520.0,0.0
lock_middle_ring,low,25,726.64,342.978819171097,700.28,241.36520378878149,262.72,145.82277462728516,852.32,717.4616767465701,8.28187134502924,5.089055279321552,3.176218323586745,2.5949586442181674,0.20416326530612244,0.07036886407836195,0.017684472534417198,0.002378432484493971,1.0087271882616868,0.15399121605921204,2.0,0.0,102.93451284408569,10.875597849257455,20520.0,0.0
