joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,all_robust_grasps_count,all_robust_grasps_count_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_ring_little,mid,1,3742.0,0.0,4833.0,0.0,944.0,0.0,4362.0,0.0,34.83366336633663,0.0,6.801980198019803,0.0,1.4090379008746357,0.0,0.01255115350672205,0.0,0.7742602938133665,0.0,2.0,0.0,386.56301832199097,0.0,50500.0,0.0
lock_middle_ring,low,1,3344.0,0.0,4371.0,0.0,939.0,0.0,4192.0,0.0,30.73267326732673,0.0,6.6019801980198025,0.0,1.2743440233236152,0.0,0.01252252395944626,0.0,0.7650423244108899,0.0,2.0,0.0,383.96284580230713,0.0,50500.0,0.0
lock_little,rest,1,3189.0,0.0,3960.0,0.0,894.0,0.0,4061.0,0.0,29.5009900990099,0.0,6.65940594059406,0.0,1.1545189504373177,0.0,0.012571979092597912,0.0,0.8053030303030303,0.0,2.0,0.0,419.49140095710754,0.0,50500.0,0.0
lock_middle_ring_little,low,1,3176.0,0.0,4138.0,0.0,701.0,0.0,2199.0,0.0,24.576237623762374,0.0,4.1623762376237625,0.0,1.2064139941690963,0.0,0.01271964793420666,0.0,0.7675205413243112,0.0,2.0,0.0,341.49364948272705,0.0,50500.0,0.0
lock_ring,mid,1,2762.0,0.0,5200.0,0.0,511.0,0.0,1419.0,0.0,41.04356435643564,0.0,4.031683168316832,0.0,1.5160349854227406,0.0,0.012537760380525478,0.0,0.5311538461538462,0.0,2.0,0.0,402.4308831691742,0.0,50500.0,0.0
lock_ring,rest,1,2755.0,0.0,4021.0,0.0,735.0,0.0,2647.0,0.0,28.716831683168316,0.0,5.247524752475248,0.0,1.1723032069970845,0.0,0.012561227501737436,0.0,0.6851529470281025,0.0,2.0,0.0,409.3628842830658,0.0,50500.0,0.0
lock_middle_little,default,1,2716.0,0.0,3869.0,0.0,657.0,0.0,2429.0,0.0,25.13069306930693,0.0,4.267326732673268,0.0,1.1279883381924198,0.0,0.012603641033563017,0.0,0.7019901783406565,0.0,2.0,0.0,358.1830155849457,0.0,50500.0,0.0
lock_middle_ring_little,default,1,2558.0,0.0,3048.0,0.0,700.0,0.0,2230.0,0.0,14.04950495049505,0.0,3.225742574257426,0.0,0.8886297376093295,0.0,0.012958042628949375,0.0,0.839238845144357,0.0,2.0,0.0,308.230628490448,0.0,50500.0,0.0
lock_middle,rest,1,2484.0,0.0,4161.0,0.0,466.0,0.0,1366.0,0.0,31.293069306930693,0.0,3.5029702970297034,0.0,1.2131195335276967,0.0,0.012528228840952957,0.0,0.5969718817591925,0.0,2.0,0.0,353.56234431266785,0.0,50500.0,0.0
lock_middle_little,max,1,2477.0,0.0,4092.0,0.0,361.0,0.0,981.0,0.0,25.396039603960396,0.0,2.2396039603960394,0.0,1.193002915451895,0.0,0.012741732435604412,0.0,0.605327468230694,0.0,2.0,0.0,338.63635516166687,0.0,50500.0,0.0
lock_middle_ring_little,rest,1,2447.0,0.0,2843.0,0.0,748.0,0.0,2686.0,0.0,12.297029702970297,0.0,3.233663366336634,0.0,0.828862973760933,0.0,0.01337906717467969,0.0,0.8607105170594442,0.0,2.0,0.0,307.7570676803589,0.0,50500.0,0.0
lock_little,max,1,2443.0,0.0,4498.0,0.0,559.0,0.0,1712.0,0.0,28.429702970297026,0.0,3.5326732673267323,0.0,1.3113702623906704,0.0,0.012648361705547584,0.0,0.5431302801244998,0.0,2.0,0.0,377.16538405418396,0.0,50500.0,0.0
lock_middle_little,low,1,2439.0,0.0,3809.0,0.0,447.0,0.0,1179.0,0.0,22.964356435643566,0.0,2.6930693069306932,0.0,1.1104956268221575,0.0,0.012753424976023406,0.0,0.6403255447624049,0.0,2.0,0.0,330.7378194332123,0.0,50500.0,0.0
lock_ring_little,max,1,2379.0,0.0,3815.0,0.0,540.0,0.0,1366.0,0.0,19.21782178217822,0.0,2.718811881188119,0.0,1.1122448979591837,0.0,0.012918867596882374,0.0,0.6235910878112713,0.0,2.0,0.0,337.88158226013184,0.0,50500.0,0.0
lock_little,mid,1,2162.0,0.0,3835.0,0.0,521.0,0.0,1720.0,0.0,20.788118811881187,0.0,2.823762376237624,0.0,1.1180758017492711,0.0,0.012828014275504961,0.0,0.563754889178618,0.0,2.0,0.0,364.731791973114,0.0,50500.0,0.0
lock_little,low,1,2102.0,0.0,3634.0,0.0,380.0,0.0,1097.0,0.0,19.441584158415843,0.0,2.0316831683168317,0.0,1.0594752186588923,0.0,0.012829379934335538,0.0,0.5784259768849752,0.0,2.0,0.0,346.4016103744507,0.0,50500.0,0.0
lock_middle_little,mid,1,2028.0,0.0,3281.0,0.0,399.0,0.0,1032.0,0.0,14.732673267326732,0.0,1.79009900990099,0.0,0.9565597667638485,0.0,0.013137056137991161,0.0,0.6181042365132582,0.0,2.0,0.0,308.5088882446289,0.0,50500.0,0.0
lock_middle_ring_little,max,1,1894.0,0.0,2633.0,0.0,426.0,0.0,1182.0,0.0,10.524752475247524,0.0,1.7009900990099012,0.0,0.7676384839650146,0.0,0.013294605190675195,0.0,0.7193315609570832,0.0,2.0,0.0,285.45412278175354,0.0,50500.0,0.0
lock_middle,max,1,1876.0,0.0,4240.0,0.0,227.0,0.0,622.0,0.0,23.497029702970295,0.0,1.2574257425742574,0.0,1.2361516034985423,0.0,0.012766847109585202,0.0,0.44245283018867926,0.0,2.0,0.0,317.00887417793274,0.0,50500.0,0.0
lock_middle,mid,1,1852.0,0.0,3198.0,0.0,283.0,0.0,691.0,0.0,15.722772277227723,0.0,1.3900990099009902,0.0,0.9323615160349854,0.0,0.012928930883704007,0.0,0.5791119449656035,0.0,2.0,0.0,307.83840107917786,0.0,50500.0,0.0
none,max,1,1674.0,0.0,3364.0,0.0,325.0,0.0,874.0,0.0,18.287128712871286,0.0,1.7663366336633661,0.0,0.9807580174927114,0.0,0.01285941598751733,0.0,0.4976218787158145,0.0,2.0,0.0,333.3766596317291,0.0,50500.0,0.0
lock_index,rest,1,1577.0,0.0,2908.0,0.0,209.0,0.0,470.0,0.0,15.075247524752475,0.0,1.083168316831683,0.0,0.8478134110787173,0.0,0.012913966749270155,0.0,0.5422971114167813,0.0,2.0,0.0,290.7944598197937,0.0,50500.0,0.0
