joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,all_robust_grasps_count,all_robust_grasps_count_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_ring,max,1,3556.0,0.0,4325.0,0.0,1133.0,0.0,5083.0,0.0,31.50891089108911,0.0,8.253465346534654,0.0,1.260932944606414,0.0,0.012531984445159568,0.0,0.8221965317919075,0.0,2.0,0.0,386.074910402298,0.0,50500.0,0.0
lock_middle_ring_little,mid,1,3547.0,0.0,4307.0,0.0,991.0,0.0,3668.0,0.0,25.994059405940597,0.0,5.98019801980198,0.0,1.2556851311953352,0.0,0.012683845270143237,0.0,0.8235430694218714,0.0,2.0,0.0,354.77393436431885,0.0,50500.0,0.0
lock_middle_ring_little,max,1,3132.0,0.0,4463.0,0.0,715.0,0.0,2331.0,0.0,26.493069306930693,0.0,4.243564356435644,0.0,1.3011661807580175,0.0,0.012731993273169952,0.0,0.70177010979162,0.0,2.0,0.0,342.72079491615295,0.0,50500.0,0.0
lock_ring_little,low,1,2979.0,0.0,3687.0,0.0,795.0,0.0,2847.0,0.0,23.14059405940594,0.0,4.988118811881188,0.0,1.074927113702624,0.0,0.012653931513947595,0.0,0.8079739625711961,0.0,2.0,0.0,359.27298974990845,0.0,50500.0,0.0
lock_middle_ring_little,rest,1,2895.0,0.0,3503.0,0.0,650.0,0.0,2177.0,0.0,20.21980198019802,0.0,3.7504950495049503,0.0,1.0212827988338193,0.0,0.012648547349423068,0.0,0.8264344847273766,0.0,2.0,0.0,325.53820848464966,0.0,50500.0,0.0
none,max,1,2726.0,0.0,5165.0,0.0,489.0,0.0,1347.0,0.0,42.15841584158416,0.0,3.99009900990099,0.0,1.5058309037900874,0.0,0.012529249037741611,0.0,0.527783155856728,0.0,2.0,0.0,379.1243681907654,0.0,50500.0,0.0
lock_middle_ring,rest,1,2689.0,0.0,3774.0,0.0,702.0,0.0,2478.0,0.0,20.154455445544556,0.0,3.7485148514851483,0.0,1.1002915451895043,0.0,0.012791713285695783,0.0,0.7125066242713302,0.0,2.0,0.0,326.602664232254,0.0,50500.0,0.0
lock_little,mid,1,2676.0,0.0,4563.0,0.0,483.0,0.0,1041.0,0.0,33.481188118811886,0.0,3.542574257425742,0.0,1.330320699708455,0.0,0.012556075139980452,0.0,0.5864562787639711,0.0,2.0,0.0,354.0594575405121,0.0,50500.0,0.0
none,rest,1,2538.0,0.0,3978.0,0.0,561.0,0.0,1852.0,0.0,26.3009900990099,0.0,3.7089108910891087,0.0,1.1597667638483964,0.0,0.012646549674533124,0.0,0.6380090497737556,0.0,2.0,0.0,435.29143381118774,0.0,50500.0,0.0
lock_middle_ring_little,low,1,2498.0,0.0,3248.0,0.0,588.0,0.0,1629.0,0.0,14.477227722772277,0.0,2.61980198019802,0.0,0.9469387755102041,0.0,0.013142313381491952,0.0,0.7690886699507389,0.0,2.0,0.0,302.52282428741455,0.0,50500.0,0.0
